flow_type,customs_office,product,partner,value
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",260
export,La Rochelle,autres produits,Afrique,566
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",1254
export,La Rochelle,autres produits,Afrique,2359
export,La Rochelle,autres produits,Afrique,531
export,La Rochelle,autres produits,Afrique,848
export,La Rochelle,autres produits,Afrique,2043
export,La Rochelle,autres produits,Afrique,6158
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",342
export,La Rochelle,autres produits,Afrique,4685
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",900
export,La Rochelle,autres produits,Afrique,2748
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",2050
export,La Rochelle,autres produits,Afrique,4348
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",1375
export,La Rochelle,autres produits,Afrique,17376
export,La Rochelle,autres produits,Afrique,1567
export,La Rochelle,autres produits,Afrique,834
export,La Rochelle,autres produits,Afrique,783
export,La Rochelle,autres produits,Afrique,324
export,La Rochelle,autres produits,Afrique,2865
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",5955
export,La Rochelle,autres produits,Afrique,11670
export,La Rochelle,autres produits,Afrique,5871
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",820
export,La Rochelle,autres produits,Afrique,2160
export,La Rochelle,autres produits,Afrique,1260
export,La Rochelle,autres produits,Afrique,1000
export,La Rochelle,autres produits,Afrique,572
export,La Rochelle,"produit colonial ('Café', 'Sucre', 'Indigo', 'Coton non transformé')",Afrique,1745
export,La Rochelle,"produit colonial ('Café', 'Sucre', 'Indigo', 'Coton non transformé')",Afrique,548
export,La Rochelle,autres produits,Afrique,3300
export,La Rochelle,autres produits,Afrique,900
export,La Rochelle,autres produits,Afrique,126997
export,La Rochelle,autres produits,Afrique,56518
export,La Rochelle,autres produits,Afrique,106198
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",2539
export,La Rochelle,autres produits,Afrique,10062
export,La Rochelle,autres produits,Afrique,2737
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",343
export,La Rochelle,autres produits,Afrique,192
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",959
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",564
export,La Rochelle,autres produits,Afrique,3159
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",304
export,La Rochelle,autres produits,Afrique,122
export,La Rochelle,autres produits,Afrique,2800
export,La Rochelle,autres produits,Afrique,2700
export,La Rochelle,autres produits,Afrique,120
export,La Rochelle,autres produits,Afrique,4200
export,La Rochelle,autres produits,Afrique,3347
export,La Rochelle,autres produits,Afrique,14261
export,La Rochelle,autres produits,Afrique,7486
export,La Rochelle,autres produits,Afrique,2770
export,La Rochelle,autres produits,Afrique,2381
export,La Rochelle,autres produits,Afrique,29327
export,La Rochelle,autres produits,Afrique,26388
export,La Rochelle,autres produits,Afrique,1616
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",896
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",900
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",204
export,La Rochelle,autres produits,Afrique,191
export,La Rochelle,eau-de-vie et vins divers,Afrique,33957
export,La Rochelle,eau-de-vie et vins divers,Afrique,84921
export,La Rochelle,autres produits,Afrique,11920
export,La Rochelle,autres produits,Afrique,12430
export,La Rochelle,autres produits,Afrique,7425
export,La Rochelle,autres produits,Afrique,537
export,La Rochelle,autres produits,Afrique,360
export,La Rochelle,autres produits,Afrique,504
export,La Rochelle,autres produits,Afrique,4433
